Formuláø DN,Polo¾ka,Popis,Bli¾¹í definice
,15,ministerstvo obrany,
,16,jiné,
,17,odcizené,
,18,vozidlo AUTO©KOLY provádìjící výcvik,
,00,nezji¹tìno,
49,p49,SMYK,
,1,ano,
,0,ne,
50a,p50a,VOZIDLO PO NEHODÌ,
,1,nedo¹lo k po¾áru,
,2,do¹lo k po¾áru,
,3,øidiè ujel, - zji¹tìn
,4,øidiè ujel (utekl), - nezji¹tìn
,0,¾ádná z uvedených,
50b,p50b,"ÚNIK PROVOZNÍCH, PØEPRAVOVANÝCH HMOT",
,1,"do¹lo k úniku pohonných hmot, oleje, chladícího média apod.",
,2,do¹lo k úniku jiných nebezpeèných látek, - pevných
,3,do¹lo k úniku jiných nebezpeèných látek, - kapalných
,4,do¹lo k úniku jiných nebezpeèných látek, - plynných
,0,¾ádné z uvedených,
51,p51,ZPÙSOB VYPRO©TÌNÍ OSOB Z VOZIDLA,
,1,nebylo tøeba u¾ít násilí,
,2,pou¾itím páèidel apod. ,
,3,pou¾itím speciální vypro¹»ovací techniky,
52,p52,SMÌR JÍZDY NEBO POSTAVENÍ VOZIDLA,
,1,vozidlo jedoucí - ve mìru stanièení (na komunikaci),
,2,"vozidlo odstavené, parkující", - ve smìru stanièení (na komunikaci)
,3,vozidlo jedoucí - proti smìru stanièení (na komunikaci),
,4,"vozidlo odstavené, parkující", - proti smìru stanièení (na komunikaci)
,5,vozidlo jedoucí - na komunikaci bez stanièení,
,6,"vozidlo odstavené, parkující", - na komunikaci bez stanièení
,10-99,zachycuje postavení vozidla pøi nehodì na køi¾ovatce,
53,p53,©KODA NA VOZIDLE,
,,vyplòuje se zprava a uvádí se ¹koda pouze na pøíslu¹ném vozidle (nikoliv nákladù) ,ve stokorunách
55a,p55a,KATEGORIE ØIDIÈE,
,1,s øidièským oprávnìním skupiny,A
,2,s øidièským oprávnìním skupiny,B
,3,s øidièským oprávnìním skupiny,C 
,4,s øidièským oprávnìním skupiny,D
,5,s øidièským oprávnìním skupiny,T
,6,s øidièským oprávnìním skupiny,A a s omezením do 50 ccm
,7,bez pøíslu¹ného øidièského oprávnìní,
,8,ostatní øidièi vozidel,"(napø. cyklisté, vozkové, strojvedoucí atd.)"
,9,"nezji¹tìno, øidiè místo nehody opustil","(u p44 je kód 17, nebo u p50a je kód 4)"
,0,nezji¹tìno ,(napø. u cizincù)
57,p57,STAV ØIDIÈE,
